ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Estimates Start After
AFG,Afghanistan,Gross national savings,Percent of GDP,,Source: National Statistical Office Latest actual data: 2011. Latest actual data is for the solar year 2011/12 Notes: The data for Afghanistan is based on a solar year that runs from March 21 to March 20 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: April/March. Reporting year starts March 21 Base year: 2002. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghani Data last updated: 08/2012,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30.407,25.285,46.855,49.168,42.527,46.276,42.905,35.034,30.398,28.659,26.457,25.812,2011
AFG,Afghanistan,General government gross debt,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-3.623,-13.495,-0.338,3.055,-1.11,5.826,5.115,1.564,3.877,3.321,2.089,0.533,2009
ALB,Albania,Gross national savings,Percent of GDP,,"Source: IMF Staff Latest actual data: 2008 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian leks Data last updated: 08/2012",28.799,42.318,43.561,47.23,49.743,43.356,42.808,45.06,42.502,40.416,43.553,-8.523,10.009,24.835,23.183,22.81,16.56,7.395,13.54,22.958,25.772,25.532,20.753,20.431,22.348,22.838,23.652,19.127,17.393,14.994,14.509,12.753,12.423,12.76,2008
ALB,Albania,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,84.604,75.713,72.67,69.634,65.86,65.464,60.708,57.413,57.843,56.682,53.431,54.702,59.297,57.821,58.568,63.755,65.07,2011
ALB,Albania,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",0.057,-0.483,-2.404,-1.681,-1.398,-1.23,0.06,0.282,-1.046,-2.857,-4.58,-13.133,-8.692,1.778,-3.935,-2.09,-5.677,-9.909,-3.274,2.236,-3.684,-3.07,-7.163,-4.973,-3.967,-6.06,-5.644,-10.371,-15.117,-14.016,-11.372,-12.286,-11.785,-11.499,2008
DZA,Algeria,Gross national savings,Percent of GDP,,"Source: IMF Staff Latest actual data: 2011 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2005 Primary domestic currency: Algerian dinars Data last updated: 09/2012",30.432,28.024,26.014,26.789,31.868,31.733,24.115,24.526,20.168,20.33,26.278,34.533,30.221,25.65,25.198,24.852,29.131,29.601,25.258,28.758,41.712,39.65,38.485,43.314,46.345,51.871,54.682,57.198,57.505,47.001,48.947,46.784,44.348,47.045,2011
DZA,Algeria,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,77.834,62.926,74.028,98.376,116.195,98.148,69.855,72.863,82.019,62.813,58.264,54.683,44.535,36.839,27.212,26.805,13.501,8.058,10.42,10.935,9.533,8.558,7.939,2011
DZA,Algeria,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",0.571,-0.472,-0.973,-0.179,0.144,1.66,-3.623,0.223,-3.678,-1.965,2.181,5.121,2.621,1.589,-4.334,-5.318,2.658,7.161,-1.888,0.041,16.699,12.896,7.68,12.979,13.025,20.522,24.683,22.784,20.063,0.298,7.489,9.955,6.237,6.115,2011
AGO,Angola,Gross national savings,Percent of GDP,,Source: National Statistical Office Latest actual data: 2011 National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2002 Chain-weighted: No Primary domestic currency: Angolan kwanzas Data last updated: 09/2012,23.494,20.044,16.48,15.212,19.159,15.643,7.179,18.778,3.557,12.062,7.331,15.094,19.756,19.16,21.41,18.231,32.817,15.146,6.914,0.106,25.766,-2.786,12.206,8.148,13.647,26.986,40.996,33.456,26.552,5.37,21.692,21.021,20.195,19.218,2011
