LogGDP,LogDebt,LogNationalSavings,LogRatio,GDP,Debt,NationalSavings,Ratio,MemberClass,Year
3328.583525558453,62.88168307922382,1814.5816207005469,3.0759544839106097,3046426530296,31079741440.6897,437136282187.5504,2.2055000000000002,OTHER,1980-01-01
3333.626318738161,63.05585491444005,1805.5354826537452,3.063410157530946,3162318209156,27982469853.7869,428540728181.4845,2.8937000000000004,OTHER,1981-01-01
3334.6501020418027,63.42867714695474,1794.369304649716,3.0475665803353205,3103483288103,24757012523.0648,329243265029.7459,3.3130999999999995,OTHER,1982-01-01
3336.275266135691,87.74945336671708,1809.7114702212523,4.089653211219448,3113075467805,61787550316.75551,294699764264.2631,3.6599,OTHER,1983-01-01
3339.269297804097,87.78236126517865,1867.3989163529734,4.087748295850544,3084182371816,59780772038.07761,318947410842.03357,3.6587,OTHER,1984-01-01
3339.40248113262,111.21682590744709,1821.921261674187,5.121356873557853,2955437474972,77754043568.1112,313842818879.72455,3.5871999999999993,OTHER,1985-01-01
3352.4644280843168,112.49357003479696,1843.5658996028592,5.122525165809118,2898224599989,109403591064.1217,269190932489.92386,3.3707,OTHER,1986-01-01
3365.530915860072,113.20866070107091,1886.4652113136385,5.141366617629609,3063750691567,124696160159.39731,319416122442.7866,3.0958000000000006,OTHER,1987-01-01
3380.309769975191,132.1265045261472,1858.277620459281,6.216435383476318,3280984615273,125595418492.6862,347850110429.00336,3.3705,OTHER,1988-01-01
3408.907137114974,132.25236187461317,1887.967179917744,6.198097333388792,3450609370824,118544760801.7687,389342934374.49896,3.7481999999999993,OTHER,1989-01-01
3865.467504687602,519.9781207099874,1957.9698870094815,24.91852414906716,4055045267145,301053316616.08734,457192945544.49536,16.027399999999997,OTHER,1990-01-01
3748.1468054822185,595.9316084646242,1955.7798132152227,27.665366668161894,3311052227298,399335398376.3761,425124344260.9216,20.5797,OTHER,1991-01-01
3753.761390967863,663.9549082430545,2100.586564820667,30.72285844609713,3539965050927,452133819938.2534,541341066554.4002,20.747500000000002,OTHER,1992-01-01
3753.8905282501473,724.0529777003597,2108.8665152685944,33.85047782479957,3688299288757,483269453805.6395,612752771006.5852,22.809399999999997,OTHER,1993-01-01
3732.649007438175,819.8280092628916,2172.4927658505608,37.91500922867061,3859522257137,660221742786.7178,638972406102.3462,26.558500000000002,OTHER,1994-01-01
3748.5664588561463,863.9883800448794,2198.5860970094177,40.017935340476626,4208294583903,733154701178.844,697707916218.2744,26.809399999999993,OTHER,1995-01-01
3760.4735169290284,1021.284318889634,2187.614620107476,47.532839560940836,4499995622686,968064555863.3553,774468961900.0867,26.8512,OTHER,1996-01-01
3765.882964113758,1236.3815414404405,2171.9550519181475,57.897441474010044,4568802939304,1012066876907.3566,817061264925.9778,31.664800000000003,OTHER,1997-01-01
